Season,RoundNum,RoundName,Day,Date,Winner,,Loser,,PtsWinner,PtsLoser
2017,1,WildCard,Sat,1/6/2018,Atlanta Falcons,@,Los Angeles Rams,boxscore,26,13
2017,1,WildCard,Sat,1/6/2018,Tennessee Titans,@,Kansas City Chiefs,boxscore,22,21
2017,1,WildCard,Sun,1/7/2018,Jacksonville Jaguars,,Buffalo Bills,boxscore,10,3
2017,1,WildCard,Sun,1/7/2018,New Orleans Saints,,Carolina Panthers,boxscore,31,26
2017,2,Division,Sat,1/13/2018,New England Patriots,,Tennessee Titans,boxscore,35,14
2017,2,Division,Sat,1/13/2018,Philadelphia Eagles,,Atlanta Falcons,boxscore,15,10
2017,2,Division,Sun,1/14/2018,Minnesota Vikings,,New Orleans Saints,boxscore,29,24
2017,2,Division,Sun,1/14/2018,Jacksonville Jaguars,@,Pittsburgh Steelers,boxscore,45,42
2017,3,ConfChamp,Sun,1/21/2018,New England Patriots,,Jacksonville Jaguars,boxscore,24,20
2017,3,ConfChamp,Sun,1/21/2018,Philadelphia Eagles,,Minnesota Vikings,boxscore,38,7
2017,4,SuperBowl,Sun,2/4/2018,Philadelphia Eagles,N,New England Patriots,boxscore,41,33
2016,1,WildCard,Sat,1/7/2017,Houston Texans,,Oakland Raiders,boxscore,27,14
2016,1,WildCard,Sat,1/7/2017,Seattle Seahawks,,Detroit Lions,boxscore,26,6
2016,1,WildCard,Sun,1/8/2017,Green Bay Packers,,New York Giants,boxscore,38,13
2016,1,WildCard,Sun,1/8/2017,Pittsburgh Steelers,,Miami Dolphins,boxscore,30,12
2016,2,Division,Sat,1/14/2017,Atlanta Falcons,,Seattle Seahawks,boxscore,36,20
2016,2,Division,Sat,1/14/2017,New England Patriots,,Houston Texans,boxscore,34,16
2016,2,Division,Sun,1/15/2017,Green Bay Packers,@,Dallas Cowboys,boxscore,34,31
2016,2,Division,Sun,1/15/2017,Pittsburgh Steelers,@,Kansas City Chiefs,boxscore,18,16
2016,3,ConfChamp,Sun,1/22/2017,Atlanta Falcons,,Green Bay Packers,boxscore,44,21
2016,3,ConfChamp,Sun,1/22/2017,New England Patriots,,Pittsburgh Steelers,boxscore,36,17
2016,4,SuperBowl,Sun,2/5/2017,New England Patriots,N,Atlanta Falcons,boxscore,34,28
2015,1,WildCard,Sat,1/9/2016,Kansas City Chiefs,@,Houston Texans,boxscore,30,0
2015,1,WildCard,Sat,1/9/2016,Pittsburgh Steelers,@,Cincinnati Bengals,boxscore,18,16
2015,1,WildCard,Sun,1/10/2016,Green Bay Packers,@,Washington Redskins,boxscore,35,18
2015,1,WildCard,Sun,1/10/2016,Seattle Seahawks,@,Minnesota Vikings,boxscore,10,9
2015,2,Division,Sat,1/16/2016,Arizona Cardinals,,Green Bay Packers,boxscore,26,20
2015,2,Division,Sat,1/16/2016,New England Patriots,,Kansas City Chiefs,boxscore,27,20
2015,2,Division,Sun,1/17/2016,Carolina Panthers,,Seattle Seahawks,boxscore,31,24
2015,2,Division,Sun,1/17/2016,Denver Broncos,,Pittsburgh Steelers,boxscore,23,16
2015,3,ConfChamp,Sun,1/24/2016,Carolina Panthers,,Arizona Cardinals,boxscore,49,15
2015,3,ConfChamp,Sun,1/24/2016,Denver Broncos,,New England Patriots,boxscore,20,18
