Season,RoundNum,RoundName,Day,Date,Winner,Unnamed: 6,Loser,Unnamed: 8,PtsWinner,PtsLoser,Team,OffTotPointsRank,DefTotPointsRank,OffTotYardsRank,DefTotYardsRank,OffTotPlaysRunRank,DefTotPlaysRunRank,OffTotYardsPerPlayRank,DefTotYardsPerPlayRank,OffTotTurnoversRank,DefTotTakeawaysRank,OffTotFumblesRank,DefTotFumblesRank,OffTot1stDownsRank,DefTot1stDownsRank,OffPassCompletionsRank,DefPassCompletionsRank,OffPassAttemptsRank,DefPassAttemptsRank,OffPassYardsRank,DefPassYardsRank,OffPassTouchdownsRank,DefPassTouchdownsRank,OffPassInterceptionsRank,DefPassInterceptionsRank,OffPassNetYardsPerAttemptRank,DefPassNetYardsPerAttemptRank,OffPass1stDownsRank,DefPass1stDownsRank,OffRushAttemptsRank,DefRushAttemptsRank,OffRushYardsRank,DefRushYardsRank,OffRushTouchdownsRank,DefRushTouchdownsRank,OffRushYardsPerAttemptRank,DefRushYardsPerAttemptRank,OffRush1stDownsRank,DefRush1stDownsRank,OffNumOfPenaltiesRank,DefNumOfPenaltiesRank,OffPenaltyYardsRank,DefPenaltyYardsRank,Off1stDownsByPenaltyRank,Def1stDownsByPenaltyRank,OffPctOfDrivesEndingInScoreRank,DefPctOfDrivesEndingInScoreRank,OffPctOfDrivesEndingInTurnoverRank,DefPctOfDrivesEndingInTurnoverRank,OffExpectedPointsContributedRank,DefExpectedPointsContributedRank
2021,1,WildCard,Sun,1/16/2022,San Francisco 49ers,@,Dallas Cowboys,boxscore,23,17,San Francisco 49ers,13,9,7,3,25,5,1,4,21,19,24,6,11,6,26,14,29,7,12,6,14,12,17,27,1,8,15,5,5,14,7,7,5,21,17,6,8,5,13,11,30,7,17,32,13,9,15,24,8,14
2021,1,WildCard,Sun,1/16/2022,Tampa Bay Buccaneers,,Philadelphia Eagles,boxscore,31,15,Tampa Bay Buccaneers,2,5,2,13,4,22,1,8,8,5,11,4,2,17,1,32,1,32,1,21,1,14,10,8,6,3,1,24,31,1,26,3,10,5,17,15,19,4,10,1,20,1,30,24,8,6,10,6,3,4
2021,1,WildCard,Mon,1/17/2022,Los Angeles Rams,,Arizona Cardinals,boxscore,34,11,Los Angeles Rams,7,15,9,17,18,28,3,8,18,11,2,28,12,19,9,29,10,27,5,22,2,2,27,4,2,14,7,24,23,17,25,6,29,24,24,6,23,16,3,4,2,2,31,5,3,13,17,9,6,8
2021,2,Division,Sat,1/22/2022,Cincinnati Bengals,@,Tennessee Titans,boxscore,19,16,Cincinnati Bengals,7,17,13,18,25,17,6,20,12,17,11,15,18,15,15,30,20,28,7,26,7,14,17,17,3,21,11,21,19,5,23,5,15,15,24,15,24,11,2,27,1,25,11,1,12,7,12,17,12,12
2021,2,Division,Sat,1/22/2022,San Francisco 49ers,@,Green Bay Packers,boxscore,13,10,San Francisco 49ers,13,9,7,3,25,5,1,4,21,19,24,6,11,6,26,14,29,7,12,6,14,12,17,27,1,8,15,5,5,14,7,7,5,21,17,6,8,5,13,11,30,7,17,32,13,9,15,24,8,14
2021,2,Division,Sun,1/23/2022,Kansas City Chiefs,,Buffalo Bills,boxscore,42,36,Kansas City Chiefs,4,8,3,27,5,13,6,29,23,5,31,2,1,24,2,25,2,23,4,27,6,17,12,12,9,26,2,19,20,6,16,21,15,15,8,31,12,22,24,27,22,22,11,17,1,18,26,4,1,26
2021,2,Division,Sun,1/23/2022,Los Angeles Rams,@,Tampa Bay Buccaneers,boxscore,30,27,Los Angeles Rams,7,15,9,17,18,28,3,8,18,11,2,28,12,19,9,29,10,27,5,22,2,2,27,4,2,14,7,24,23,17,25,6,29,24,24,6,23,16,3,4,2,2,31,5,3,13,17,9,6,8
2021,3,ConfChamp,Sun,1/30/2022,Cincinnati Bengals,@,Kansas City Chiefs,boxscore,27,24,Cincinnati Bengals,7,17,13,18,25,17,6,20,12,17,11,15,18,15,15,30,20,28,7,26,7,14,17,17,3,21,11,21,19,5,23,5,15,15,24,15,24,11,2,27,1,25,11,1,12,7,12,17,12,12
2021,3,ConfChamp,Sun,1/30/2022,Los Angeles Rams,,San Francisco 49ers,boxscore,20,17,Los Angeles Rams,7,15,9,17,18,28,3,8,18,11,2,28,12,19,9,29,10,27,5,22,2,2,27,4,2,14,7,24,23,17,25,6,29,24,24,6,23,16,3,4,2,2,31,5,3,13,17,9,6,8
2021,4,SuperBowl,Sun,2/13/2022,Los Angeles Rams,N,Cincinnati Bengals,boxscore,23,20,Los Angeles Rams,7,15,9,17,18,28,3,8,18,11,2,28,12,19,9,29,10,27,5,22,2,2,27,4,2,14,7,24,23,17,25,6,29,24,24,6,23,16,3,4,2,2,31,5,3,13,17,9,6,8
2020,1,WildCard,Sat,1/9/2021,Buffalo Bills,,Indianapolis Colts,boxscore,27,24,Buffalo Bills,2,16,2,14,15,17,6,14,21,3,26,5,1,17,5,17,11,22,3,13,4,10,12,9,3,9,3,13,18,12,20,17,16,27,21,24,11,25,27,14,28,13,4,13,2,15,18,2,5,19
2020,1,WildCard,Sat,1/9/2021,Los Angeles Rams,@,Seattle Seahawks,boxscore,30,20,Los Angeles Rams,22,1,11,1,3,3,18,1,25,13,26,17,16,1,9,11,12,15,13,1,26,1,24,12,17,1,17,3,7,4,10,3,11,5,16,3,9,3,2,4,6,2,29,1,25,1,21,17,22,1
2020,1,WildCard,Sat,1/9/2021,Tampa Bay Buccaneers,@,Washington Football Team,boxscore,31,23,Tampa Bay Buccaneers,3,8,7,6,23,16,7,6,7,5,4,9,10,5,5,31,6,29,2,21,2,21,16,9,8,7,4,24,29,1,28,1,16,1,25,1,30,1,12,22,14,31,2,10,6,6,6,4,3,6
2020,1,WildCard,Sun,1/10/2021,Cleveland Browns,@,Pittsburgh Steelers,boxscore,48,37,Cleveland Browns,14,21,16,17,20,19,12,14,5,19,16,9,15,18,29,21,28,25,24,22,15,25,5,20,11,17,24,23,4,10,3,9,5,15,6,12,7,22,25,10,25,7,24,3,14,20,9,10,8,25
2020,1,WildCard,Sun,1/10/2021,New Orleans Saints,,Chicago Bears,boxscore,21,9,New Orleans Saints,5,5,12,4,10,4,12,4,7,3,20,17,8,6,21,4,25,17,19,5,11,17,5,2,10,5,23,7,5,5,6,4,1,2,10,4,2,2,23,1,31,1,30,32,7,7,7,8,6,8
2020,1,WildCard,Sun,1/10/2021,Baltimore Ravens,@,Tennessee Titans,boxscore,20,13,Baltimore Ravens,7,2,19,7,25,11,9,7,11,13,12,3,24,16,32,24,32,27,32,6,15,6,12,25,20,4,32,22,1,3,1,8,3,5,1,24,1,6,28,3,30,4,32,27,8,3,13,11,10,5
2020,2,Division,Sat,1/16/2021,Green Bay Packers,,Los Angeles Rams,boxscore,32,18,Green Bay Packers,1,13,5,9,28,1,2,14,1,25,9,22,13,10,17,10,24,7,9,7,1,10,1,20,2,9,11,6,12,8,8,13,16,15,6,18,13,24,12,6,10,15,22,15,1,16,1,19,1,17
2020,2,Division,Sat,1/16/2021,Buffalo Bills,,Baltimore Ravens,boxscore,17,3,Buffalo Bills,2,16,2,14,15,17,6,14,21,3,26,5,1,17,5,17,11,22,3,13,4,10,12,9,3,9,3,13,18,12,20,17,16,27,21,24,11,25,27,14,28,13,4,13,2,15,18,2,5,19
2020,2,Division,Sun,1/17/2021,Kansas City Chiefs,,Cleveland Browns,boxscore,22,17,Kansas City Chiefs,6,10,1,16,7,14,2,19,5,13,20,26,1,19,2,12,3,17,1,14,4,21,3,5,3,17,1,15,23,19,16,21,24,11,11,18,17,17,29,24,27,17,16,27,4,9,8,9,2,21
2020,2,Division,Sun,1/17/2021,Tampa Bay Buccaneers,@,New Orleans Saints,boxscore,30,20,Tampa Bay Buccaneers,3,8,7,6,23,16,7,6,7,5,4,9,10,5,5,31,6,29,2,21,2,21,16,9,8,7,4,24,29,1,28,1,16,1,25,1,30,1,12,22,14,31,2,10,6,6,6,4,3,6
2020,3,ConfChamp,Sun,1/24/2021,Kansas City Chiefs,,Buffalo Bills,boxscore,38,24,Kansas City Chiefs,6,10,1,16,7,14,2,19,5,13,20,26,1,19,2,12,3,17,1,14,4,21,3,5,3,17,1,15,23,19,16,21,24,11,11,18,17,17,29,24,27,17,16,27,4,9,8,9,2,21
2020,3,ConfChamp,Sun,1/24/2021,Tampa Bay Buccaneers,@,Green Bay Packers,boxscore,31,26,Tampa Bay Buccaneers,3,8,7,6,23,16,7,6,7,5,4,9,10,5,5,31,6,29,2,21,2,21,16,9,8,7,4,24,29,1,28,1,16,1,25,1,30,1,12,22,14,31,2,10,6,6,6,4,3,6
2020,4,SuperBowl,Sun,2/7/2021,Tampa Bay Buccaneers,N,Kansas City Chiefs,boxscore,31,9,Tampa Bay Buccaneers,3,8,7,6,23,16,7,6,7,5,4,9,10,5,5,31,6,29,2,21,2,21,16,9,8,7,4,24,29,1,28,1,16,1,25,1,30,1,12,22,14,31,2,10,6,6,6,4,3,6
2019,1,WildCard,Sat,1/4/2020,Houston Texans,,Buffalo Bills,boxscore,22,19,Houston Texans,14,19,13,28,17,18,12,31,18,15,12,11,9,26,18,25,20,25,15,29,12,28,20,19,13,25,11,28,12,10,9,25,11,11,9,27,6,17,20,16,14,12,19,7,10,21,22,10,6,29
2019,1,WildCard,Sat,1/4/2020,Tennessee Titans,@,New England Patriots,boxscore,20,13,Tennessee Titans,10,12,12,21,30,26,3,14,7,12,16,17,17,20,31,28,31,26,21,24,8,18,7,9,6,19,23,25,10,16,3,12,2,18,2,7,12,14,8,31,20,26,10,5,24,6,6,16,7,15
2019,1,WildCard,Sun,1/5/2020,Minnesota Vikings,@,New Orleans Saints,boxscore,26,20,Minnesota Vikings,8,5,16,14,27,24,10,10,14,4,26,5,21,14,24,29,30,28,23,15,14,14,7,3,6,7,25,27,4,11,6,13,6,3,11,18,10,7,7,1,16,1,9,15,6,13,14,2,9,9
2019,1,WildCard,Sun,1/5/2020,Seattle Seahawks,@,Philadelphia Eagles,boxscore,17,9,Seattle Seahawks,9,22,8,26,10,14,12,28,14,3,29,2,11,26,21,27,23,26,14,27,4,6,3,5,12,23,17,30,3,7,4,22,16,30,9,28,3,16,17,6,13,5,22,4,13,19,15,4,11,19
2019,2,Division,Sat,1/11/2020,San Francisco 49ers,,Minnesota Vikings,boxscore,27,10,San Francisco 49ers,2,8,4,2,19,6,5,2,20,6,20,4,14,3,22,5,29,6,13,1,10,14,18,19,3,1,14,1,2,9,2,17,1,7,9,22,7,23,13,25,22,19,19,11,5,3,20,6,5,3
2019,2,Division,Sat,1/11/2020,Tennessee Titans,@,Baltimore Ravens,boxscore,28,12,Tennessee Titans,10,12,12,21,30,26,3,14,7,12,16,17,17,20,31,28,31,26,21,24,8,18,7,9,6,19,23,25,10,16,3,12,2,18,2,7,12,14,8,31,20,26,10,5,24,6,6,16,7,15
2019,2,Division,Sun,1/12/2020,Kansas City Chiefs,,Houston Texans,boxscore,51,31,Kansas City Chiefs,5,7,6,17,25,23,2,14,4,12,20,25,6,23,9,18,15,23,5,8,6,9,2,5,2,5,9,13,27,17,23,26,13,18,20,28,15,28,15,25,26,10,1,27,2,11,4,9,1,17
2019,2,Division,Sun,1/12/2020,Green Bay Packers,,Seattle Seahawks,boxscore,28,23,Green Bay Packers,15,9,18,18,14,10,18,20,2,7,16,22,16,11,16,7,16,15,17,14,14,6,1,3,17,16,17,15,13,14,15,23,8,23,14,25,18,18,9,7,5,23,6,1,12,12,2,7,8,18
2019,3,ConfChamp,Sun,1/19/2020,Kansas City Chiefs,,Tennessee Titans,boxscore,35,24,Kansas City Chiefs,5,7,6,17,25,23,2,14,4,12,20,25,6,23,9,18,15,23,5,8,6,9,2,5,2,5,9,13,27,17,23,26,13,18,20,28,15,28,15,25,26,10,1,27,2,11,4,9,1,17
2019,3,ConfChamp,Sun,1/19/2020,San Francisco 49ers,,Green Bay Packers,boxscore,37,20,San Francisco 49ers,2,8,4,2,19,6,5,2,20,6,20,4,14,3,22,5,29,6,13,1,10,14,18,19,3,1,14,1,2,9,2,17,1,7,9,22,7,23,13,25,22,19,19,11,5,3,20,6,5,3
2019,4,SuperBowl,Sun,2/2/2020,Kansas City Chiefs,N,San Francisco 49ers,boxscore,31,20,Kansas City Chiefs,5,7,6,17,25,23,2,14,4,12,20,25,6,23,9,18,15,23,5,8,6,9,2,5,2,5,9,13,27,17,23,26,13,18,20,28,15,28,15,25,26,10,1,27,2,11,4,9,1,17
2018,1,WildCard,Sat,1/5/2019,Indianapolis Colts,@,Houston Texans,boxscore,21,7,Indianapolis Colts,5,10,7,11,3,15,12,13,23,11,17,9,6,12,2,24,2,15,6,16,2,5,23,11,10,21,5,23,17,16,20,8,17,12,23,6,16,8,29,31,19,30,6,8,6,16,23,8,8,9
2018,1,WildCard,Sat,1/5/2019,Dallas Cowboys,,Seattle Seahawks,boxscore,24,22,Dallas Cowboys,22,6,22,7,11,10,21,10,5,17,17,9,19,9,17,20,21,15,23,13,22,9,5,26,21,17,20,13,10,12,10,5,17,12,13,4,7,10,12,2,11,1,26,12,14,18,10,15,16,14
2018,1,WildCard,Sun,1/6/2019,Philadelphia Eagles,@,Chicago Bears,boxscore,16,15,Philadelphia Eagles,18,12,14,23,8,18,16,23,20,24,29,21,11,8,5,32,7,30,7,30,12,9,10,25,10,13,7,27,20,1,28,7,21,19,30,22,18,2,9,23,8,24,14,4,13,23,21,25,14,21
2018,1,WildCard,Sun,1/6/2019,Los Angeles Chargers,@,Baltimore Ravens,boxscore,23,17,Los Angeles Chargers,7,8,11,9,28,10,3,10,13,17,11,21,13,10,19,13,24,18,10,9,8,12,14,16,4,10,9,5,19,11,15,9,8,7,8,13,13,16,21,13,23,9,26,18,5,9,9,16,5,10
2018,2,Division,Sat,1/12/2019,Kansas City Chiefs,,Indianapolis Colts,boxscore,31,13,Kansas City Chiefs,1,24,1,31,23,31,1,24,8,8,5,5,3,32,8,31,9,32,3,31,1,23,14,11,1,13,3,32,23,17,16,27,8,29,5,31,9,30,32,15,32,14,8,32,1,28,12,5,1,30
2018,2,Division,Sat,1/12/2019,Los Angeles Rams,,Dallas Cowboys,boxscore,30,22,Los Angeles Rams,2,20,2,19,4,4,2,27,13,3,11,5,1,17,15,12,14,10,5,14,8,25,14,3,4,21,6,8,8,10,3,23,2,12,3,32,2,16,7,9,10,12,14,23,3,22,8,2,2,17
2018,2,Division,Sun,1/13/2019,New Orleans Saints,,Philadelphia Eagles,boxscore,20,14,New Orleans Saints,3,14,8,14,17,9,7,19,3,13,17,5,5,22,11,24,23,22,12,29,7,23,3,20,4,27,11,30,5,4,7,2,1,12,18,2,2,3,5,1,15,7,10,26,2,17,5,6,3,18
2018,2,Division,Sun,1/13/2019,New England Patriots,,Los Angeles Chargers,boxscore,41,28,New England Patriots,4,7,5,21,2,18,8,19,8,6,11,12,8,17,12,22,12,28,8,22,12,20,10,3,6,10,14,25,3,6,5,11,4,2,18,28,5,13,4,3,2,11,19,3,7,4,4,4,4,8
2018,3,ConfChamp,Sun,1/20/2019,New England Patriots,@,Kansas City Chiefs,boxscore,37,31,New England Patriots,4,7,5,21,2,18,8,19,8,6,11,12,8,17,12,22,12,28,8,22,12,20,10,3,6,10,14,25,3,6,5,11,4,2,18,28,5,13,4,3,2,11,19,3,7,4,4,4,4,8
2018,3,ConfChamp,Sun,1/20/2019,Los Angeles Rams,@,New Orleans Saints,boxscore,26,23,Los Angeles Rams,2,20,2,19,4,4,2,27,13,3,11,5,1,17,15,12,14,10,5,14,8,25,14,3,4,21,6,8,8,10,3,23,2,12,3,32,2,16,7,9,10,12,14,23,3,22,8,2,2,17
2018,4,SuperBowl,Sun,2/3/2019,New England Patriots,N,Los Angeles Rams,boxscore,13,3,New England Patriots,4,7,5,21,2,18,8,19,8,6,11,12,8,17,12,22,12,28,8,22,12,20,10,3,6,10,14,25,3,6,5,11,4,2,18,28,5,13,4,3,2,11,19,3,7,4,4,4,4,8
2017,1,WildCard,Sat,1/6/2018,Atlanta Falcons,@,Los Angeles Rams,boxscore,26,13,Atlanta Falcons,15,8,8,9,25,9,4,11,9,27,9,18,9,21,16,25,20,16,8,12,21,13,13,29,3,10,8,24,16,7,13,9,16,7,8,17,8,21,13,14,14,12,22,12,6,21,12,26,10,9
2017,1,WildCard,Sat,1/6/2018,Tennessee Titans,@,Kansas City Chiefs,boxscore,22,21,Tennessee Titans,19,17,23,13,29,27,17,7,24,17,15,15,22,21,26,29,28,32,23,25,30,24,26,18,17,13,28,32,14,6,15,4,3,1,16,4,13,4,2,29,5,22,7,6,14,26,24,17,24,18
2017,1,WildCard,Sun,1/7/2018,Jacksonville Jaguars,,Buffalo Bills,boxscore,10,3,Jacksonville Jaguars,5,2,6,2,1,8,12,1,20,2,20,5,7,1,23,1,21,4,17,1,21,3,17,2,11,1,12,1,1,13,1,21,3,7,8,24,8,15,22,25,18,29,4,2,15,1,15,3,7,1
2017,1,WildCard,Sun,1/7/2018,New Orleans Saints,,Carolina Panthers,boxscore,31,26,New Orleans Saints,4,10,2,17,19,13,1,22,9,10,20,30,7,15,2,12,19,17,5,15,16,13,3,3,1,15,7,7,13,9,5,16,1,14,1,27,3,16,16,19,23,7,32,30,4,15,9,7,3,19
2017,2,Division,Sat,1/13/2018,New England Patriots,,Tennessee Titans,boxscore,35,14,New England Patriots,2,5,1,29,4,19,4,29,2,25,3,25,1,24,1,28,7,30,2,30,3,19,3,18,5,21,2,28,11,5,10,20,6,2,12,30,6,22,7,24,8,27,1,2,1,6,2,24,1,30
2017,2,Division,Sat,1/13/2018,Philadelphia Eagles,,Atlanta Falcons,boxscore,15,10,Philadelphia Eagles,3,4,7,4,3,6,9,7,11,4,23,5,4,5,17,26,13,31,13,17,1,19,6,4,13,7,12,10,6,1,3,1,24,4,4,6,5,2,26,8,22,18,6,20,7,2,10,4,2,3
2017,2,Division,Sun,1/14/2018,Minnesota Vikings,,New Orleans Saints,boxscore,29,24,Minnesota Vikings,10,1,11,1,7,4,12,1,3,23,9,30,6,2,12,7,21,19,11,2,13,1,3,13,9,2,11,5,2,3,7,2,8,10,23,5,10,1,11,15,21,20,4,20,8,3,3,22,12,5
2017,2,Division,Sun,1/14/2018,Jacksonville Jaguars,@,Pittsburgh Steelers,boxscore,45,42,Jacksonville Jaguars,5,2,6,2,1,8,12,1,20,2,20,5,7,1,23,1,21,4,17,1,21,3,17,2,11,1,12,1,1,13,1,21,3,7,8,24,8,15,22,25,18,29,4,2,15,1,15,3,7,1
2017,3,ConfChamp,Sun,1/21/2018,New England Patriots,,Jacksonville Jaguars,boxscore,24,20,New England Patriots,2,5,1,29,4,19,4,29,2,25,3,25,1,24,1,28,7,30,2,30,3,19,3,18,5,21,2,28,11,5,10,20,6,2,12,30,6,22,7,24,8,27,1,2,1,6,2,24,1,30
2017,3,ConfChamp,Sun,1/21/2018,Philadelphia Eagles,,Minnesota Vikings,boxscore,38,7,Philadelphia Eagles,3,4,7,4,3,6,9,7,11,4,23,5,4,5,17,26,13,31,13,17,1,19,6,4,13,7,12,10,6,1,3,1,24,4,4,6,5,2,26,8,22,18,6,20,7,2,10,4,2,3
2017,4,SuperBowl,Sun,2/4/2018,Philadelphia Eagles,N,New England Patriots,boxscore,41,33,Philadelphia Eagles,3,4,7,4,3,6,9,7,11,4,23,5,4,5,17,26,13,31,13,17,1,19,6,4,13,7,12,10,6,1,3,1,24,4,4,6,5,2,26,8,22,18,6,20,7,2,10,4,2,3
2016,1,WildCard,Sat,1/7/2017,Houston Texans,,Oakland Raiders,boxscore,27,14,Houston Texans,28,11,29,1,5,1,31,6,19,26,11,26,23,1,21,3,14,3,29,2,30,6,23,21,30,4,27,1,6,12,8,12,30,17,18,13,9,8,1,25,13,20,16,11,23,7,18,26,31,5
2016,1,WildCard,Sat,1/7/2017,Seattle Seahawks,,Detroit Lions,boxscore,26,6,Seattle Seahawks,18,3,12,5,18,17,13,3,12,22,5,21,22,10,15,6,18,5,10,8,18,3,14,21,8,13,16,6,20,25,25,7,17,22,24,1,23,17,26,9,24,16,26,20,13,3,11,21,12,8
