Season,MaxRound,Team,GamesPlayed,OffTotPoints,OffTotYards,OffTotPlaysRun,OffTotYardsPerPlay,OffTotTurnovers,OffTotFumbles,OffTot1stDowns,OffPassCompletions,OffPassAttempts,OffPassYards,OffPassTouchdowns,OffPassInterceptions,OffPassNetYardsPerAttempt,OffPass1stDowns,OffRushAttempts,OffRushYards,OffRushTouchdowns,OffRushYardsPerAttempt,OffRush1stDowns,OffNumOfPenalties,OffPenaltyYards,Off1stDownsByPenalty,OffPctOfDrivesEndingInScore,OffPctOfDrivesEndingInTurnover,OffExpectedPointsContributed,DefTotPoints,DefTotYards,DefTotPlaysRun,DefTotYardsPerPlay,DefTotTakeaways,DefTotFumbles,DefTot1stDowns,DefPassCompletions,DefPassAttempts,DefPassYards,DefPassTouchdowns,DefPassInterceptions,DefPassNetYardsPerAttempt,DefPass1stDowns,DefRushAttempts,DefRushYards,DefRushTouchdowns,DefRushYardsPerAttempt,DefRush1stDowns,DefNumOfPenalties,DefPenaltyYards,Def1stDownsByPenalty,DefPctOfDrivesEndingInScore,DefPctOfDrivesEndingInTurnover,DefExpectedPointsContributed,OffTotPointsRank,OffTotYardsRank,OffTotPlaysRunRank,OffTotYardsPerPlayRank,OffTotTurnoversRank,OffTotFumblesRank,OffTot1stDownsRank,OffPassCompletionsRank,OffPassAttemptsRank,OffPassYardsRank,OffPassTouchdownsRank,OffPassInterceptionsRank,OffPassNetYardsPerAttemptRank,OffPass1stDownsRank,OffRushAttemptsRank,OffRushYardsRank,OffRushTouchdownsRank,OffRushYardsPerAttemptRank,OffRush1stDownsRank,OffNumOfPenaltiesRank,OffPenaltyYardsRank,Off1stDownsByPenaltyRank,OffPctOfDrivesEndingInScoreRank,OffPctOfDrivesEndingInTurnoverRank,OffExpectedPointsContributedRank,DefTotPointsRank,DefTotYardsRank,DefTotPlaysRunRank,DefTotYardsPerPlayRank,DefTotTakeawaysRank,DefTotFumblesRank,DefTot1stDownsRank,DefPassCompletionsRank,DefPassAttemptsRank,DefPassYardsRank,DefPassTouchdownsRank,DefPassInterceptionsRank,DefPassNetYardsPerAttemptRank,DefPass1stDownsRank,DefRushAttemptsRank,DefRushYardsRank,DefRushTouchdownsRank,DefRushYardsPerAttemptRank,DefRush1stDownsRank,DefNumOfPenaltiesRank,DefPenaltyYardsRank,Def1stDownsByPenaltyRank,DefPctOfDrivesEndingInScoreRank,DefPctOfDrivesEndingInTurnoverRank,DefExpectedPointsContributedRank,Selection,SelectionCount
2009,3,Indianapolis Colts,16,416,5809,980,5.9,24,5,339,402,601,4515,34,19,7.4,241,366,1294,16,3.5,69,74,546,29,37.9,13.2,43.68,307,5427,1084,5.0,26,10,320,372,583,3403,19,16,5.5,203,467,2024,10,4.3,106,92,889,11,33.0,14.0,126.71,7,9,23,5,10,1,5,1,2,2,2,24,4,1,31,32,12,30,32,2,2,6,7,14,3,8,18,31,7,18,21,27,30,30,14,11,15,4,29,25,24,8,17,23,14,24,1,18,14,13,313,300.0
2009,2,Minnesota Vikings,16,470,6074,1054,5.8,18,11,343,377,553,4156,34,7,7.1,220,467,1918,19,4.1,99,101,757,24,42.0,9.0,7.01,312,4888,940,5.2,24,13,271,341,535,3494,26,11,6.0,183,357,1394,5,3.9,63,109,902,25,28.2,11.7,130.41,2,5,3,10,3,19,3,6,11,8,2,1,7,5,9,13,7,21,15,24,13,15,2,2,5,10,6,1,13,22,9,2,21,18,19,23,27,16,19,1,2,1,6,1,28,26,23,9,23,11,211,600.0
2009,4,New Orleans Saints,16,510,6461,1032,6.3,28,16,348,378,544,4355,34,12,7.7,215,468,2106,21,4.5,115,89,787,18,41.6,13.5,60.76,341,5724,1044,5.5,39,13,310,330,574,3769,15,26,6.2,175,435,1955,19,4.5,111,86,717,24,31.4,18.0,178.25,1,1,9,1,17,29,2,5,15,4,2,6,2,6,7,6,3,6,5,13,17,24,3,16,2,20,25,27,20,2,9,22,19,27,26,5,3,19,10,18,21,28,26,25,7,8,18,15,3,6,406,600.0
2009,2,New York Jets,16,348,5136,1030,5.0,30,9,280,210,393,2380,12,21,5.6,131,607,2756,21,4.5,132,88,677,17,31.8,15.2,-176.01,236,4037,953,4.2,31,14,237,259,501,2459,8,17,4.6,128,420,1578,11,3.8,87,87,680,22,20.3,14.4,262.87,17,20,11,22,20,8,23,32,32,31,29,28,21,29,1,1,3,6,1,11,7,27,16,22,24,1,1,4,1,8,4,1,1,7,1,1,13,1,1,11,8,12,4,12,9,6,14,1,10,1,201,1500.0
2010,1,Baltimore Ravens,16,357,5166,1018,5.1,20,10,303,308,491,3335,25,10,6.3,175,487,1831,11,3.8,97,90,673,31,32.8,9.5,-79.88,270,5102,1007,5.1,27,8,284,349,596,3599,22,19,5.8,187,384,1503,5,3.9,79,117,984,18,29.2,13.5,197.21,16,22,17,22,7,14,18,18,24,20,15,6,13,17,6,14,19,26,13,12,6,3,15,6,12,3,10,18,9,15,26,10,23,30,21,10,9,7,20,3,5,1,8,4,30,28,11,10,13,3,103,1200.0
2010,2,Chicago Bears,16,334,4631,936,4.9,31,10,263,276,466,3015,23,21,5.8,163,414,1616,10,3.9,76,91,768,24,29.3,15.7,-227.26,286,5029,1002,5.0,35,14,282,363,582,3588,14,21,5.8,183,386,1441,14,3.7,88,93,790,11,25.0,17.9,168.17,21,30,29,28,23,14,26,29,32,28,20,27,25,23,21,22,22,23,29,16,14,12,24,22,31,4,9,16,4,3,5,9,27,27,20,2,5,7,15,4,2,21,5,12,14,18,1,1,3,7,207,300.0
2010,4,Green Bay Packers,16,388,5730,1000,5.7,22,9,312,352,541,4124,31,13,7.1,204,421,1606,11,3.8,88,78,617,20,35.0,10.9,-45.71,240,4945,969,5.1,32,8,270,296,527,3107,16,24,5.4,163,395,1838,6,4.7,82,98,758,25,25.3,16.5,199.39,10,9,20,6,10,10,13,10,16,5,4,10,3,6,20,24,19,26,18,3,3,23,9,10,8,2,5,6,9,6,26,4,6,13,5,4,2,3,5,6,18,3,29,5,20,13,20,2,6,2,402,1500.0
2010,2,New York Jets,16,367,5616,1087,5.2,21,7,307,288,525,3242,20,14,5.9,171,534,2374,14,4.4,118,103,934,18,32.2,10.6,-122.93,304,4664,979,4.8,30,18,272,269,531,3210,24,12,5.6,169,408,1454,11,3.6,70,74,679,33,26.4,13.9,182.51,13,11,3,19,8,5,15,25,18,22,23,12,21,20,2,4,10,8,4,24,27,28,17,9,19,6,3,11,3,9,2,5,2,15,6,19,26,4,7,10,3,13,3,2,1,4,27,6,12,4,204,300.0
2010,3,Pittsburgh Steelers,16,375,5525,993,5.6,18,9,295,298,479,3601,22,9,6.9,175,471,1924,15,4.1,106,100,903,14,36.9,9.5,-133.72,232,4429,974,4.5,35,14,272,363,593,3425,15,21,5.3,182,333,1004,5,3.0,61,86,716,29,25.7,17.3,216.3,12,14,21,9,4,10,20,21,27,14,21,4,5,17,8,11,8,17,10,20,24,32,8,6,22,1,2,7,1,3,5,5,27,29,12,3,5,1,14,1,1,1,1,1,9,8,24,3,4,1,301,300.0
2010,1,Seattle Seahawks,16,310,4765,964,4.9,31,11,260,324,544,3341,14,20,5.8,159,385,1424,13,3.7,81,101,890,20,26.5,14.8,-197.05,407,5897,1074,5.5,22,10,313,339,585,3994,31,12,6.4,206,452,1903,13,4.2,91,91,706,16,35.9,9.9,60.14,23,28,24,28,23,18,28,17,14,19,28,23,25,26,29,31,14,30,26,22,23,23,27,20,28,25,27,30,23,26,18,20,21,28,27,29,26,24,28,25,21,18,14,15,13,7,7,24,28,27,127,900.0
2011,2,Baltimore Ravens,16,378,5419,1036,5.2,24,12,312,314,544,3423,21,12,5.9,181,459,1996,15,4.3,98,92,742,33,35.5,11.8,-72.94,266,4622,1002,4.6,26,11,269,288,535,3140,11,15,5.4,166,419,1482,10,3.5,79,103,1032,24,26.6,13.8,240.19,12,15,7,18,16,24,15,17,18,19,15,6,20,14,8,10,10,13,13,9,4,5,11,16,12,3,3,13,2,14,10,4,5,15,4,1,18,3,4,13,2,10,1,6,19,32,12,3,12,1,201,1500.0
2011,1,Denver Broncos,16,309,5066,1017,5.0,30,17,286,217,429,2434,20,13,5.2,130,546,2632,11,4.8,129,101,843,27,24.5,14.2,-154.77,390,5725,1063,5.4,18,9,315,333,534,3704,24,9,6.4,182,488,2021,11,4.1,101,99,845,32,33.0,7.8,68.03,25,23,14,24,26,32,20,32,32,31,20,9,29,31,1,1,19,6,4,16,13,19,27,22,23,24,20,27,15,28,21,19,18,14,18,17,29,20,14,27,22,16,12,20,15,14,25,18,32,20,120,300.0
2011,1,Houston Texans,16,381,5954,1046,5.7,20,11,321,288,467,3506,20,9,7.0,176,546,2448,18,4.5,131,99,852,14,37.2,10.5,-63.12,278,4571,960,4.8,27,10,270,279,538,3035,18,17,5.2,166,378,1536,8,4.1,73,88,686,31,29.8,13.8,206.3,10,13,6,12,6,22,13,26,30,18,20,3,8,17,1,2,4,7,3,14,17,32,10,6,11,4,2,2,3,12,16,5,4,16,3,6,14,2,4,4,4,4,12,2,4,2,24,10,12,3,103,1200.0
2011,3,New England Patriots,16,513,6848,1082,6.3,17,5,399,402,612,5084,39,12,7.9,262,438,1764,18,4.0,107,87,815,30,47.2,8.3,99.08,342,6577,1064,6.2,34,11,370,386,619,4703,26,23,7.1,245,405,1874,13,4.6,101,115,907,24,32.6,17.1,84.78,3,2,2,3,3,2,2,3,3,2,4,6,2,2,17,20,4,23,8,6,11,13,3,3,2,15,31,28,29,3,10,32,31,29,31,22,2,29,31,9,17,19,24,20,27,20,12,16,3,16,316,300.0
2011,1,New Orleans Saints,16,547,7474,1117,6.7,19,5,416,472,662,5347,46,14,7.8,280,431,2127,16,4.9,116,99,851,20,51.4,10.9,165.64,339,5895,1010,5.8,16,7,326,362,626,4157,24,9,6.3,196,351,1738,11,5.0,92,109,912,38,34.1,8.8,13.66,2,1,1,1,4,2,1,1,2,1,2,14,3,1,20,6,8,4,6,14,16,28,1,9,1,13,24,17,26,31,26,22,26,30,30,17,29,16,23,1,12,16,30,13,22,22,28,22,29,27,127,900.0
2011,4,New York Giants,16,394,6161,1028,6.0,24,8,331,359,589,4734,29,16,7.7,216,411,1427,17,3.5,84,94,795,31,32.5,11.5,-45.79,400,6022,1072,5.6,31,11,338,361,589,4082,28,20,6.4,210,435,1940,15,4.5,103,110,933,25,34.7,14.8,57.49,9,8,11,7,16,12,10,9,6,5,6,19,4,8,22,32,6,32,24,11,9,11,16,13,10,25,27,30,21,7,10,26,25,24,29,25,7,20,29,16,19,24,22,23,23,23,15,23,7,21,421,300.0
2011,2,San Francisco 49ers,16,380,4974,993,5.0,10,5,282,277,451,2930,18,5,5.9,150,498,2044,14,4.1,101,113,1014,31,39.6,5.2,-152.56,229,4931,974,5.1,38,15,267,333,579,3695,20,23,6.0,190,353,1236,3,3.5,53,98,867,24,23.3,18.7,165.23,11,26,24,24,1,2,23,29,31,29,24,1,20,30,3,8,13,19,10,26,29,11,5,1,22,2,4,7,7,1,1,2,18,23,16,8,2,10,19,2,1,1,1,1,13,15,12,1,2,5,205,600.0
2012,2,Atlanta Falcons,16,419,5906,1021,5.8,18,4,343,422,615,4509,32,14,7.0,247,378,1397,12,3.7,70,55,415,26,44.0,10.3,-18.12,299,5849,991,5.9,31,11,298,337,551,3878,14,20,6.7,189,411,1971,16,4.8,99,83,641,10,31.7,17.2,40.76,7,8,14,7,7,1,6,4,8,6,5,13,5,4,26,29,15,28,29,1,1,18,2,8,11,5,24,5,27,6,15,9,14,14,23,1,5,22,16,10,21,24,29,17,4,1,1,13,3,22,222,300.0
2012,4,Baltimore Ravens,16,398,5640,1042,5.4,16,5,314,334,560,3739,22,11,6.3,182,444,1901,17,4.3,98,121,1127,34,35.8,7.8,22.03,344,5615,1086,5.2,25,12,326,335,557,3650,15,13,6.1,187,492,1965,15,4.0,105,107,929,34,34.9,12.0,132.17,10,16,9,16,3,3,15,16,15,15,19,6,15,18,12,11,7,12,16,31,32,9,13,2,5,12,17,28,11,14,10,21,13,16,17,2,19,15,15,29,20,23,8,23,24,24,27,19,16,7,407,300.0
2012,1,Green Bay Packers,16,433,5751,1042,5.5,16,8,341,374,558,4049,40,8,6.6,213,433,1702,9,3.9,85,103,923,43,37.6,8.1,25.77,336,5388,1033,5.2,23,5,308,313,568,3492,24,18,5.7,191,418,1896,12,4.5,83,123,1055,34,33.2,11.8,81.27,5,13,9,14,3,11,8,8,16,9,2,2,12,7,16,20,25,22,20,19,23,1,9,4,4,11,11,20,11,19,29,14,8,22,11,16,9,7,18,13,17,16,25,9,30,31,27,16,19,15,115,600.0
2012,1,Houston Texans,16,416,5953,1090,5.5,17,4,341,354,554,3830,22,13,6.6,205,508,2123,19,4.2,114,108,873,22,35.6,8.4,-20.08,331,5172,1015,5.1,29,14,292,308,581,3612,29,15,5.8,167,390,1560,5,4.0,94,90,863,31,28.0,14.5,124.55,8,7,4,14,6,1,8,10,18,11,19,10,12,9,4,8,4,15,7,24,20,28,14,6,12,9,7,13,7,9,5,6,7,24,16,26,14,8,3,5,7,1,8,13,9,19,20,6,8,8,108,2100.0
2012,2,New England Patriots,16,557,6846,1191,5.7,16,7,444,402,641,4662,34,9,7.0,256,523,2184,25,4.2,151,97,840,37,48.1,8.1,118.97,331,5972,1046,5.7,41,21,340,369,594,4342,27,20,6.9,207,415,1630,10,3.9,100,101,932,33,30.1,20.4,83.26,1,1,1,10,3,8,1,5,4,4,4,4,5,3,2,7,1,15,1,9,14,4,1,4,1,9,25,25,23,2,1,25,25,26,29,21,5,27,26,11,9,9,6,19,17,25,24,8,2,14,214,900.0
2012,3,San Francisco 49ers,16,397,5789,969,6.0,16,8,322,289,436,3298,23,8,6.9,172,492,2491,17,5.1,128,109,960,22,39.3,7.9,-15.31,273,4710,1012,4.7,25,11,284,337,567,3203,19,14,5.3,178,407,1507,7,3.7,72,93,758,34,26.7,12.8,114.89,11,11,30,3,3,11,14,27,31,23,16,2,7,21,7,4,7,3,4,26,28,28,6,3,9,2,3,11,3,14,15,2,14,21,4,8,17,2,7,9,4,4,3,1,11,8,27,2,13,9,309,300.0
2012,1,Seattle Seahawks,16,412,5610,974,5.8,18,8,311,259,405,3031,27,10,6.9,153,536,2579,16,4.8,129,110,890,29,39.4,10.0,9.07,245,4899,968,5.1,31,13,295,327,564,3250,15,18,5.4,186,368,1649,8,4.5,80,102,902,29,27.2,16.0,133.75,9,17,29,7,7,11,16,32,32,27,9,5,7,31,1,3,9,5,3,27,21,14,5,7,6,1,4,2,7,6,7,8,11,19,6,2,9,4,13,2,10,5,25,7,20,22,14,5,6,6,106,600.0
2013,3,Denver Broncos,16,606,7317,1156,6.3,26,16,435,461,675,5444,55,10,7.8,293,461,1873,16,4.1,107,117,1000,35,47.5,10.4,277.21,399,5696,1074,5.3,26,9,339,357,613,4070,29,17,6.2,208,420,1626,15,3.9,90,97,807,41,32.5,12.6,-54.32,1,1,1,1,17,32,1,1,2,1,1,5,1,1,11,15,8,18,10,29,27,10,1,11,1,22,19,23,16,16,21,27,22,27,27,23,13,15,27,8,7,23,9,13,15,13,30,14,18,21,321,600.0
2013,1,Indianapolis Colts,16,391,5468,1023,5.3,14,4,318,350,582,3725,23,10,6.1,191,409,1743,15,4.3,88,66,576,39,38.8,6.9,98.0,336,5713,1026,5.6,27,12,319,324,536,3711,21,15,6.4,191,448,2002,14,4.5,101,112,990,27,31.7,13.7,-82.63,14,15,18,17,1,1,16,18,15,17,19,5,15,18,23,20,11,12,20,1,1,4,9,1,7,9,20,14,23,15,7,14,7,8,13,8,18,19,14,23,26,20,25,20,30,29,12,12,11,24,124,600.0
2013,2,New England Patriots,16,444,6152,1138,5.4,20,9,378,380,628,4087,25,11,6.1,225,470,2065,19,4.4,110,69,625,43,40.8,10.0,100.43,338,5969,1118,5.3,29,12,338,336,589,3824,25,17,6.0,208,481,2145,11,4.5,110,110,951,20,29.6,13.3,-42.78,3,7,2,12,8,12,2,4,7,10,13,8,15,5,9,9,2,10,8,2,3,1,4,10,6,10,26,30,16,11,7,26,11,23,18,16,13,11,27,29,30,12,25,27,27,26,1,7,13,20,220,600.0
2013,1,New Orleans Saints,16,414,6391,1079,5.9,19,7,359,446,651,4918,39,12,7.1,244,391,1473,10,3.8,87,95,817,28,40.3,8.3,169.86,304,4891,943,5.2,19,7,274,304,507,3105,20,12,5.6,168,387,1786,11,4.6,82,91,750,24,30.4,10.5,-15.21,10,4,9,5,5,6,4,2,4,2,2,11,4,2,26,25,23,25,21,12,16,17,6,2,3,4,4,1,12,29,26,1,2,2,2,6,24,7,3,6,19,12,28,8,8,9,8,8,24,13,113,600.0
2013,1,San Diego Chargers,16,396,6293,1060,5.9,21,10,373,378,544,4328,32,11,7.5,230,486,1965,9,4.0,104,95,765,39,44.9,11.4,186.29,348,5864,959,6.1,17,6,327,364,548,4139,23,11,7.1,208,376,1725,14,4.6,98,100,850,21,36.1,9.6,-120.17,12,5,12,5,11,20,3,6,22,4,6,8,2,3,6,13,25,22,14,12,9,4,2,13,2,11,23,2,30,30,29,18,26,12,29,12,27,31,27,3,12,20,28,15,18,16,3,22,28,30,130,300.0
2013,2,San Francisco 49ers,16,406,5180,961,5.4,18,10,286,244,417,2979,21,8,6.5,148,505,2201,18,4.4,115,103,845,23,37.8,9.0,58.16,272,5071,1020,5.0,30,12,284,345,585,3536,19,18,5.7,181,397,1535,11,3.9,77,96,878,26,26.2,13.1,67.25,11,24,31,12,2,20,25,32,32,30,23,1,10,32,3,3,4,10,5,21,18,26,10,3,12,3,5,11,8,7,7,6,17,21,7,5,10,9,9,7,4,12,9,6,14,20,10,2,15,3,203,1200.0
2013,4,Seattle Seahawks,16,417,5424,973,5.6,19,10,307,267,420,3236,27,9,7.0,160,509,2188,14,4.3,116,128,1183,31,40.7,9.3,60.55,231,4378,990,4.4,39,11,282,309,524,2752,16,28,4.8,156,422,1626,4,3.9,83,98,879,43,24.7,19.4,129.49,8,17,29,9,5,20,20,30,31,26,10,3,5,28,2,4,14,12,4,32,32,14,5,6,11,1,1,6,1,1,12,4,3,7,1,2,1,1,1,10,7,1,9,9,16,21,31,1,1,1,401,600.0
2014,1,Baltimore Ravens,16,409,5838,1021,5.7,20,8,345,344,554,3819,27,12,6.7,194,448,2019,16,4.5,113,111,870,38,39.6,9.9,135.24,302,5391,1034,5.2,22,11,311,382,595,3979,22,11,6.2,205,390,1412,8,3.6,75,110,1007,31,33.3,11.7,-18.91,8,12,14,9,7,10,10,17,17,13,13,10,10,15,11,8,6,7,4,18,15,4,7,8,8,6,8,22,7,22,12,14,29,29,23,8,25,13,23,5,4,6,3,5,24,28,14,17,22,12,112,300.0
2014,1,Carolina Panthers,16,339,5547,1060,5.2,23,11,347,327,545,3511,23,12,6.0,199,473,2036,10,4.3,117,83,756,31,34.8,11.8,44.08,374,5437,999,5.4,26,12,309,364,562,3645,25,14,6.1,193,397,1792,14,4.5,91,97,760,25,34.1,14.0,-38.36,19,16,9,22,15,21,9,19,19,19,15,10,21,14,8,7,22,13,3,4,6,17,14,16,15,21,10,9,16,11,7,10,23,20,11,15,15,10,12,9,16,22,28,17,6,5,5,18,8,16,116,600.0
2014,1,Dallas Cowboys,16,467,6138,1014,6.1,25,14,342,328,476,3784,37,11,7.5,205,508,2354,16,4.6,106,105,839,31,43.6,12.8,174.23,352,5681,978,5.8,31,13,315,371,558,4031,22,18,6.9,195,392,1650,18,4.2,86,104,861,34,31.3,16.8,-69.98,5,7,18,3,20,29,11,18,31,16,4,7,2,13,3,2,6,4,8,14,12,17,3,21,2,15,19,5,25,2,5,17,28,18,26,8,8,27,17,6,8,31,16,11,14,14,21,9,1,24,124,600.0
2014,2,Green Bay Packers,16,486,6178,1001,6.2,13,7,356,349,536,4261,38,6,7.5,222,435,1917,14,4.4,104,92,775,30,46.7,7.1,172.28,348,5542,1054,5.3,27,9,339,333,564,3623,26,18,6.0,196,449,1919,11,4.3,116,104,945,27,33.1,14.9,-33.95,1,6,24,1,1,7,7,16,20,8,3,1,2,8,14,11,11,11,9,7,7,19,1,2,3,13,15,25,11,8,19,27,7,22,10,18,8,8,19,23,23,15,21,30,14,25,8,16,4,15,215,600.0
2014,2,Indianapolis Colts,16,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,39.5,14.6,83.73,369,5483,1007,5.4,26,14,309,320,543,3669,27,12,6.3,175,423,1814,14,4.3,103,101,866,31,28.1,12.6,-12.0,6,3,2,6,29,31,3,4,1,1,1,21,5,2,17,22,24,23,23,14,14,3,8,27,9,19,11,11,16,11,3,10,3,11,12,20,22,17,3,16,18,22,21,22,11,15,14,4,18,10,210,600.0
2014,4,New England Patriots,16,468,5848,1073,5.5,13,4,361,392,609,4121,34,9,6.5,228,438,1727,13,3.9,96,120,1080,37,45.3,7.2,181.12,313,5506,1033,5.3,25,9,329,342,574,3837,24,16,6.2,196,419,1669,6,4.0,88,92,752,45,32.4,13.2,-51.58,4,11,5,12,1,2,4,8,7,9,5,4,16,5,13,18,12,23,15,28,30,7,2,3,1,8,13,21,11,16,19,22,12,24,17,13,12,13,19,12,9,2,9,13,4,4,32,13,12,20,420,300.0
2014,3,Seattle Seahawks,16,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,40.6,6.9,137.18,254,4274,924,4.6,24,11,277,313,507,2970,17,13,5.5,175,380,1304,8,3.4,70,70,613,32,26.9,12.3,40.92,10,9,14,6,3,7,14,30,32,27,24,3,13,29,2,1,1,1,1,32,27,26,5,1,7,1,1,1,1,20,12,1,1,1,1,2,19,3,3,4,3,6,2,3,1,1,17,2,20,4,304,600.0
2015,2,Arizona Cardinals,16,489,6533,1041,6.3,24,11,373,353,562,4616,35,13,7.8,237,452,1917,16,4.2,92,94,758,44,42.5,11.8,148.43,313,5147,982,5.2,33,14,284,343,573,3687,24,19,6.1,177,373,1460,9,3.9,79,130,1202,28,31.7,16.7,34.93,2,1,15,1,19,24,2,19,19,2,4,17,1,2,9,8,7,13,15,3,1,2,3,19,1,7,5,4,8,2,3,4,9,18,8,12,4,10,6,4,6,8,8,7,31,32,12,10,2,10,210,600.0
2015,3,Carolina Panthers,16,500,5871,1060,5.5,19,9,357,300,501,3589,35,10,6.7,197,526,2282,19,4.3,136,103,887,24,42.9,9.6,115.28,308,5167,1058,4.9,39,15,298,390,650,3752,21,24,5.4,198,364,1415,11,3.9,74,99,822,26,26.5,19.4,117.7,1,11,8,14,9,16,4,29,27,24,4,8,10,16,1,2,2,9,1,10,14,26,2,9,5,6,6,24,2,1,2,6,25,32,11,8,1,2,18,3,4,18,8,4,6,7,8,1,1,2,302,600.0
2015,4,Denver Broncos,16,355,5688,1056,5.4,31,8,314,368,606,3970,19,23,6.2,201,411,1718,13,4.2,85,115,1063,28,31.2,15.1,-50.98,296,4530,1033,4.4,27,13,289,344,573,3193,19,14,5.1,162,408,1337,10,3.3,81,104,773,46,26.9,11.9,141.46,19,16,9,19,29,10,19,13,13,14,28,32,19,14,17,17,13,13,21,22,25,22,24,27,27,4,1,19,1,8,6,5,11,18,1,4,14,1,1,13,3,13,1,10,9,4,31,2,14,1,401,600.0
2015,1,Green Bay Packers,16,368,5353,1056,5.1,17,9,317,348,573,3503,31,8,5.7,173,436,1850,8,4.2,100,105,906,44,33.3,8.9,40.61,323,5547,1014,5.5,22,6,300,321,551,3642,20,16,6.1,183,420,1905,13,4.5,96,120,1107,21,31.3,11.5,-9.81,15,23,9,28,5,16,17,20,18,25,11,3,29,27,12,12,22,13,8,15,15,2,20,6,12,12,15,15,17,20,29,8,2,13,6,6,9,10,8,18,21,23,27,16,26,29,1,9,19,13,113,600.0
2015,1,Kansas City Chiefs,16,405,5299,955,5.5,15,8,303,310,473,3255,20,7,6.3,155,436,2044,19,4.7,116,104,878,32,37.9,7.1,41.53,287,5269,1037,5.1,29,7,313,349,607,3698,25,22,5.7,193,383,1571,7,4.1,86,110,941,34,27.3,15.3,105.76,9,27,31,14,2,10,25,28,29,30,26,1,16,28,12,6,2,3,4,12,11,17,9,2,10,3,7,20,6,5,27,13,13,26,9,16,2,4,16,7,8,4,17,11,14,16,23,3,3,3,103,1200.0
2015,2,New England Patriots,16,465,5991,1050,5.7,14,7,348,404,629,4587,36,7,6.9,230,383,1404,14,3.7,87,96,860,31,43.2,5.7,138.04,315,5430,1042,5.2,21,9,303,361,596,3852,24,12,6.0,204,397,1578,8,4.0,77,112,1013,22,28.9,10.5,27.26,3,6,13,7,1,4,5,7,5,5,1,1,7,5,25,30,11,29,20,5,9,18,1,1,3,10,9,21,8,22,18,9,20,21,17,12,20,8,24,10,9,6,12,6,16,25,2,6,23,11,211,600.0
2015,1,Pittsburgh Steelers,16,423,6327,1011,6.3,28,7,331,391,590,4603,26,21,7.4,207,388,1724,16,4.4,91,94,868,33,40.5,13.7,22.98,319,5809,1055,5.5,30,13,327,402,625,4350,29,17,6.5,231,382,1459,6,3.8,71,121,1199,25,32.3,14.3,37.09,4,3,22,1,23,4,12,9,16,3,16,29,2,13,24,16,7,8,17,3,10,15,5,22,17,11,21,23,17,3,6,21,29,27,30,20,7,17,30,6,5,2,6,2,28,31,7,12,7,8,108,2100.0
2015,1,Seattle Seahawks,16,423,6058,1035,5.9,16,8,335,333,489,3790,34,8,7.1,190,500,2268,10,4.5,128,117,1007,17,42.0,8.6,129.31,277,4668,947,4.9,23,9,273,333,548,3364,14,14,5.8,175,362,1304,10,3.6,71,94,795,27,29.3,13.2,59.08,4,4,16,4,3,10,10,25,28,20,6,3,4,24,3,3,18,7,2,23,23,32,4,4,4,1,2,1,2,17,18,2,8,11,2,1,14,5,5,2,1,13,3,2,2,6,10,8,10,5,105,900.0
2016,3,Atlanta Falcons,16,540,6653,995,6.7,11,4,379,374,537,4725,38,7,8.2,239,421,1928,20,4.6,108,104,848,32,52.6,6.3,212.07,406,5939,1059,5.6,22,10,358,422,655,4267,31,12,6.2,232,370,1672,15,4.5,95,113,974,31,39.2,11.4,-34.14,1,2,26,1,1,2,2,12,26,3,2,5,1,2,12,5,3,5,7,13,9,13,1,2,1,27,25,26,21,16,12,29,31,32,28,28,19,13,32,5,17,19,26,20,23,24,16,23,17,25,325,300.0
2016,2,Green Bay Packers,16,432,5900,1029,5.7,17,9,349,403,620,4199,40,8,6.4,222,374,1701,11,4.5,91,100,827,36,43.8,9.1,115.16,388,5823,987,5.9,25,8,329,370,571,4308,32,17,7.1,227,376,1515,11,4.0,80,109,964,22,41.0,13.9,-29.27,4,8,13,10,9,17,7,5,5,7,1,8,17,5,29,20,20,8,18,9,5,9,4,10,2,21,22,4,27,12,21,20,21,16,31,29,6,30,29,6,8,11,13,4,18,23,3,28,7,23,223,300.0
2016,1,Houston Texans,16,279,5035,1071,4.7,24,8,305,347,583,3176,15,16,5.2,173,456,1859,8,4.1,102,87,868,30,31.4,11.4,-102.3,328,4821,950,5.1,17,6,272,319,522,3226,20,11,5.8,157,397,1595,13,4.0,87,114,949,28,31.7,9.1,88.96,28,29,5,31,19,11,23,21,14,29,30,23,30,27,6,8,30,18,9,1,13,16,23,18,31,11,1,1,6,26,26,1,3,3,2,6,21,4,1,12,12,17,13,8,25,20,11,7,26,5,105,900.0
2016,4,New England Patriots,16,441,6180,1056,5.9,11,9,351,368,550,4308,32,2,7.5,203,482,1872,19,3.9,109,93,819,39,42.9,4.9,113.38,250,5223,998,5.2,23,10,294,368,596,3806,21,13,6.0,190,368,1417,6,3.9,81,113,930,23,26.8,11.2,108.15,3,4,7,5,1,17,5,15,23,4,6,1,3,16,3,7,5,24,6,4,4,3,6,1,3,1,8,9,9,14,12,3,17,26,12,9,16,6,13,3,3,1,9,5,23,17,4,1,20,2,402,1500.0
